designation,is_welded,is_circular,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tre 60 x 40 x 3,0,0,60.0,40.0,3.0,0.000541,2.538e-07,8.46e-06,1.053e-05,1.344e-07,6.719999999999999e-06,7.94e-06,2.93e-07,0.0002164,0.0003246
Tre 60 x 40 x 4,0,0,60.0,40.0,4.0,0.000695,3.098000000000001e-07,1.033e-05,1.316e-05,1.628e-07,8.14e-06,9.89e-06,3.6700000000000004e-07,0.000278,0.000417
Tre 70 x 35 x 3,0,0,70.0,35.0,3.0,0.000571,3.39e-07,9.7e-06,1.24e-05,1.13e-07,6.48e-06,7.589999999999999e-06,2.87e-07,0.0001903333333333,0.0003806666666666
Tre 70 x 40 x 3,0,0,70.0,40.0,3.0,0.000601,3.73e-07,1.07e-05,1.34e-05,1.55e-07,7.75e-06,9.05e-06,3.65e-07,0.0002185454545454,0.0003824545454545
Tre 70 x 40 x 4,0,0,70.0,40.0,4.0,0.000775,4.6e-07,1.3099999999999998e-05,1.68e-05,1.89e-07,9.44e-06,1.13e-05,4.58e-07,0.0002818181818181,0.0004931818181818
Tre 70 x 50 x 2.5,0,0,70.0,50.0,2.5,0.000559,3.801e-07,1.086e-05,1.316e-05,2.259e-07,9.039999999999998e-06,1.0449999999999998e-05,4.58e-07,0.0002329166666666,0.0003260833333333
Tre 70 x 50 x 3,0,0,70.0,50.0,3.0,0.000661,4.405e-07,1.259e-05,1.5399999999999998e-05,2.61e-07,1.0439999999999998e-05,1.221e-05,5.36e-07,0.0002754166666666,0.0003855833333333
Tre 70 x 50 x 4,0,0,70.0,50.0,4.0,0.000855,5.467e-07,1.562e-05,1.948e-05,3.222e-07,1.289e-05,1.541e-05,6.809999999999999e-07,0.00035625,0.00049875
Tre 80 x 40 x 2,0,0,80.0,40.0,2.0,0.000454,3.736e-07,9.34e-06,1.161e-05,1.272e-07,6.36e-06,7.17e-06,3.09e-07,0.0001513333333333,0.0003026666666666
Tre 80 x 40 x 2.5,0,0,80.0,40.0,2.5,0.000559,4.511e-07,1.128e-05,1.414e-05,1.526e-07,7.63e-06,8.72e-06,3.7600000000000003e-07,0.0001863333333333,0.0003726666666666
Tre 80 x 40 x 3,0,0,80.0,40.0,3.0,0.000661,5.225e-07,1.306e-05,1.6539999999999997e-05,1.7559999999999998e-07,8.779999999999999e-06,1.016e-05,4.39e-07,0.0002203333333333,0.0004406666666666
